                   frame  Start Frame
    0.032 ms       render            Setting Up Material /renderClient/screenRender/renderpass6 (TOP:renderpass)
    0.019 ms     1 render            Rendering Primitive Batch(s) /renderClient/screenRender/screenGeo/null1 (SOP:null)
    0.001 ms       render            Post-Render /renderClient/screenRender/renderpass6 (TOP:renderpass)
    0.044 ms       gfx            Generating Mipmaps
    0.016 ms  178520 cook            /renderClient/previs/phong4 (MAT:phong)
    0.009 ms  188909 cook             /renderClient/screenRender/table1 (TOP:null)
    0.051 ms  188909 cook             /renderClient/screenRender/comp1 (TOP:comp)
    0.004 ms  188909 cook             /renderClient/screenRender/level2 (TOP:level)
    0.108 ms  188910 cook             /renderClient/screenRender/renderpass7 (TOP:renderpass)
    0.041 ms       render            Prepping Nodes For Render /renderClient/screenRender/renderpass7 (TOP:renderpass)
    0.006 ms  188909 cook             /renderClient/screenRender/constant4 (MAT:constant)
    0.050 ms  188909 cook             /renderClient/screenRender/tableTexture1 (TOP:fit)
    0.106 ms  188910 cook             /renderClient/screenRender/tableRenderReflect (TOP:renderpass)
    0.052 ms  188905 cook             /renderClient/screenRender/tableCam1 (COMP:cam)
    1.052 ms       render            Prepping Nodes For Render /renderClient/screenRender/tableRenderReflect (TOP:renderpass)
    0.031 ms       render            Pre-Render /renderClient/screenRender/tableRenderReflect (TOP:renderpass)
    0.000 ms       render            Post-Render /renderClient/screenRender/tableRenderReflect (TOP:renderpass)
    0.037 ms       gfx            Generating Mipmaps
    0.004 ms  188905 cook             /renderClient/screenRender/surfaceGeo1/null1 (SOP:null)
    0.019 ms  188905 cook             /renderClient/screenRender/surfaceGeo1/texture1 (SOP:texture)
    0.068 ms       cook            Copying Input SOP Data /renderClient/screenRender/surfaceGeo1/texture1 (SOP:texture)
    0.013 ms       render            Updating SOP's VBO /renderClient/screenRender/surfaceGeo1/texture1 (SOP:texture)
    0.002 ms       render            tesselate
    0.006 ms       render            Rendering /renderClient/screenRender/renderpass7 (TOP:renderpass)
    0.000 ms       render            Sorting Geometries /renderClient/screenRender/renderpass7 (TOP:renderpass)
    0.001 ms       render            Updating Camera View /renderClient/screenRender/renderpass7 (TOP:renderpass)
    0.040 ms       render            Pre-Render /renderClient/screenRender/renderpass7 (TOP:renderpass)
    0.002 ms     1 render            Rendering a group of SOP(s) /renderClient/screenRender/renderpass7 (TOP:renderpass)
    0.038 ms       render            Setting Up Material /renderClient/screenRender/renderpass7 (TOP:renderpass)
    0.019 ms     1 render            Rendering Primitive Batch(s) /renderClient/screenRender/surfaceGeo1/null1 (SOP:null)
    0.001 ms       render            Post-Render /renderClient/screenRender/renderpass7 (TOP:renderpass)
    0.116 ms  188909 cook             /renderClient/screenRender/renderpass8 (TOP:renderpass)
    0.062 ms       render            Prepping Nodes For Render /renderClient/screenRender/renderpass8 (TOP:renderpass)
    0.006 ms  188909 cook             /renderClient/screenRender/constant5 (MAT:constant)
    0.043 ms  188909 cook             /renderClient/screenRender/tableTexture2 (TOP:fit)
    0.084 ms  188909 cook             /renderClient/screenRender/tableRenderScreen (TOP:renderpass)
    0.050 ms  188905 cook             /renderClient/screenRender/tableCam3 (COMP:cam)
    0.038 ms       render            Prepping Nodes For Render /renderClient/screenRender/tableRenderScreen (TOP:renderpass)
    0.021 ms  188801 cook             /renderClient/scenes/scene8/table/surfaceMat (MAT:phong)
    0.007 ms       render            Rendering /renderClient/screenRender/tableRenderScreen (TOP:renderpass)
    0.000 ms       render            Sorting Geometries /renderClient/screenRender/tableRenderScreen (TOP:renderpass)
    0.001 ms       render            Updating Camera View /renderClient/screenRender/tableRenderScreen (TOP:renderpass)
    0.043 ms       render            Pre-Render /renderClient/screenRender/tableRenderScreen (TOP:renderpass)
    0.001 ms     1 render            Rendering a group of SOP(s) /renderClient/screenRender/tableRenderScreen (TOP:renderpass)
    0.008 ms       render            Setting Up Material /renderClient/screenRender/tableRenderScreen (TOP:renderpass)
    0.028 ms       gfx            Enabling Phong Shader
    0.002 ms       gfx            Updating General Uniform Buffer
